Nome,Endereço,Telefone
CASA HAVANA BARBEARIA,"R Teresina, 64 - Nossa Senhora das Graças -Manaus,AM- CEP:69053-138",(92) 3307-7579
REBELO BARBEARIA,"R Bernardo Michiles, 61 - Em frente a Graja - - Petrópolis -Manaus,AM- CEP:69067-000",(92) 99431-9050
